type,id,nomor_pb_umku,nama,website,sektor,nama_perusahaan,tanggal_daftar,nomor_tanda_daftar,qr_code,status_id,sistem_elektronik_id
tdpseTerbit,5130,812001227073100000003,V BOT DIGITAL BY PT OMEGA KREASI BERSAMA,vbotdigital.com,"Sektor Perdagangan, Sektor Teknologi Informasi dan Komunikasi",OMEGA KREASI BERSAMA,2022-07-06,003671.02/DJAI.PSE/07/2022,https://pse.kominfo.go.id/storage/images/qr_code/a485df2f0408aaeb61b475e9d4900b0e.png,TERDAFTAR,4994
tdpseTerbit,5122,812001227073100000002,VBOTDIGITAL,vbotdigital.com,"Sektor Perdagangan, Sektor Teknologi Informasi dan Komunikasi",OMEGA KREASI BERSAMA,2022-07-06,003671.01/DJAI.PSE/07/2022,https://pse.kominfo.go.id/storage/images/qr_code/6d95ca55b8ce5c284859851e931ff325.png,TERDAFTAR,4986
tdpseTerbit,5033,022000053235600000001,SEAL CENTORIA,seal-centoria.com,Sektor Teknologi Informasi dan Komunikasi,JANSSEN TANU,2022-07-03,003667.01/DJAI.PSE/07/2022,https://pse.kominfo.go.id/storage/images/qr_code/61c0c204f8c287db1e6b7c2d3041263d.png,TERDAFTAR,4905
tdpseTerbit,5031,300522000629600000001,NAQIYYA STORE,-,Sektor Perdagangan,NAQIYYA BERKAH NIAGA,2022-07-02,003650.01/DJAI.PSE/07/2022,https://pse.kominfo.go.id/storage/images/qr_code/1a816b0aff71ad9e5a758f39f7edb44c.png,TERDAFTAR,4903
tdpseTerbit,5037,022000031039400000001,CV. MANGGALA TRI SAKTI,-,"Sektor Perdagangan, Sektor Pangan",MANGGALA TRI SAKTI,2022-07-03,003649.01/DJAI.PSE/07/2022,https://pse.kominfo.go.id/storage/images/qr_code/dbe097735d532dad813d3c63c66b34f8.png,TERDAFTAR,4909
tdpseTerbit,5030,022010921247700000001,OYUMME,oyum.me,Sektor Teknologi Informasi dan Komunikasi,TEBAR DIGITAL KREASI,2022-07-02,003647.01/DJAI.PSE/07/2022,https://pse.kominfo.go.id/storage/images/qr_code/7a6a812e7033ec9240f88e2a1e2cdda0.png,TERDAFTAR,4902
tdpseTerbit,5429,290622007620400030002,PERDAGANGAN ECERAN KOMPUTER DAN PERLENGKAPANNYA,-,Sektor Perdagangan,BUKIT BENDERA NATA,2022-07-13,003644.02/DJAI.PSE/07/2022,https://pse.kominfo.go.id/storage/images/qr_code/d403d4ef32b1cde8c479735176c238c0.png,TERDAFTAR,5299
tdpseTerbit,5424,290622007620400030001,PERDAGANGAN ONLINE,-,"Sektor Perdagangan, Sektor Teknologi Informasi dan Komunikasi",BUKIT BENDERA NATA,2022-07-12,003644.01/DJAI.PSE/07/2022,https://pse.kominfo.go.id/storage/images/qr_code/6216c5907083c5cf38c510cbd4e8765c.png,TERDAFTAR,5294
tdpseTerbit,5026,010722004380400000001,PERMID TEKNIK - SERVIS ELEKTRONIK JAMBI,permidteknik.com,"Sektor Perdagangan, Sektor Teknologi Informasi dan Komunikasi",HAMIDUL UMAR,2022-07-01,003640.01/DJAI.PSE/07/2022,https://pse.kominfo.go.id/storage/images/qr_code/ab52238cc2a9b71a15f14d418d07b767.png,TERDAFTAR,4898
tdpseTerbit,6498,912030755280300010001,PALAPA,landing.xecure.world,Sektor Teknologi Informasi dan Komunikasi,IMAN TEKNOLOGI INFORMASI,2022-07-18,003639.01/DJAI.PSE/07/2022,https://pse.kominfo.go.id/storage/images/qr_code/705bd3347878a5cd7428450bbe560054.png,TERDAFTAR,6356
