type,id,nomor_pb_umku,nama,website,sektor,nama_perusahaan,tanggal_daftar,nomor_tanda_daftar,qr_code,status_id,sistem_elektronik_id
tdpseTerbit,7193,912040685135500010001,WEBSITE,bprarthaprimaperkasa.co.id,Sektor Keuangan,BANK PERKREDITAN RAKYAT ARTHA PRIMA PERKASA,2022-07-19,005189.01/DJAI.PSE/07/2022,https://pse.kominfo.go.id/storage/images/qr_code/a561e7512c3e9500d59b6c3c90d900dc.png,TERDAFTAR,7079
tdpseTerbit,8376,022000657248400000002,BAHASO.COM,Bahaso.com,Sektor Teknologi Informasi dan Komunikasi,BAHASO INTERMEDIA CAKRAWALA,2022-07-21,005188.01/DJAI.PSE/07/2022,https://pse.kominfo.go.id/storage/images/qr_code/dd419ff6c594f7a94e680b051a597ceb.png,TERDAFTAR,7195
tdpseTerbit,7957,912031703177200020001,LIGASYS,lngrisk.co.id,Sektor Keuangan,LIBERTY AND GENERAL RISK SERVICES,2022-07-20,005185.01/DJAI.PSE/07/2022,https://pse.kominfo.go.id/storage/images/qr_code/bf5be22669267548a9c9008b25f09eef.png,TERDAFTAR,7871
tdpseTerbit,7147,120800163147100020031,WEBEX,webex.com,Sektor Teknologi Informasi dan Komunikasi,CISCO TECHNOLOGIES INDONESIA,2022-07-19,005184.01/DJAI.PSE/07/2022,https://pse.kominfo.go.id/storage/images/qr_code/ea564e0952b7cc72b9c6bd94c87472ab.png,TERDAFTAR,7015
tdpseTerbit,7676,912020931128600010001,VPS (VENTURA PAYMENT SYSTEM),venturapratamasejati.com,"Sektor Perdagangan, Sektor Transportasi",VENTURA PRATAMA SEJATI,2022-07-20,005183.01/DJAI.PSE/07/2022,https://pse.kominfo.go.id/storage/images/qr_code/c58d15bcaccbf1b1a77be28d29af59ba.png,TERDAFTAR,7565
tdpseTerbit,7122,190722006510100010001,EVOTA,evota.net,"Sektor Perdagangan, Sektor Teknologi Informasi dan Komunikasi",WAHYU GUNAWAN,2022-07-19,005182.01/DJAI.PSE/07/2022,https://pse.kominfo.go.id/storage/images/qr_code/545e8eedac4992f6014f5b731935ba11.png,TERDAFTAR,6998
tdpseTerbit,7068,081021001025400000001,KUYY,kuyyaja.com,Sektor Teknologi Informasi dan Komunikasi,KREASI UNTUK INDONESIA,2022-07-19,005181.01/DJAI.PSE/07/2022,https://pse.kominfo.go.id/storage/images/qr_code/af5351ce48874b46826a7812d042ae0e.png,TERDAFTAR,6935
tdpseTerbit,7270,912000159101600010001,PT. BPR LIPATGANDA,-,Sektor Keuangan,BANK PERKREDITAN RAKYAT LIPATGANDA,2022-07-19,005180.01/DJAI.PSE/07/2022,https://pse.kominfo.go.id/storage/images/qr_code/8b99df94d93de2d53bdc0370e1f5bd63.png,TERDAFTAR,7165
tdpseTerbit,7592,912021628169800010001,TRANSFREE,transfree.id,Sektor Teknologi Informasi dan Komunikasi,PELITA TRANSFER NUSANTARA,2022-07-20,005179.01/DJAI.PSE/07/2022,https://pse.kominfo.go.id/storage/images/qr_code/7c1bce1dc4a3bdf7da91e93b8fc03316.png,TERDAFTAR,7487
tdpseTerbit,7089,912010165231800010001,NBP SYS,-,Sektor Keuangan,BANK PERKREDITAN RAKYAT MITRA DAYA MANDIRI,2022-07-19,005178.01/DJAI.PSE/07/2022,https://pse.kominfo.go.id/storage/images/qr_code/5d3ff899ae8664a405d4305cad5a3d14.png,TERDAFTAR,6955
