type,id,nomor_pb_umku,nama,website,sektor,nama_perusahaan,tanggal_daftar,nomor_tanda_daftar,qr_code,status_id,sistem_elektronik_id
tdpseTerbit,8907,912030981186900000001,KANGGO,kanggo.id,Sektor Teknologi Informasi dan Komunikasi,TENAGA KANGGO INDONESIA,2022-07-23,005146.01/DJAI.PSE/07/2022,https://pse.kominfo.go.id/storage/images/qr_code/567bb715dba396a388efe590b61bed6f.png,TERDAFTAR,8811
tdpseTerbit,8210,190722006687900000003,WEBSITE KLINIK BIMA MEDIA SEJAHTERA,bmss.co.id,Sektor Kesehatan,JABARSOFT TEKNOLOGI INDONESIA,2022-07-20,005145.03/DJAI.PSE/07/2022,https://pse.kominfo.go.id/storage/images/qr_code/322b47615bf4a81738d91ed80280b780.png,TERDAFTAR,8131
tdpseTerbit,8105,190722006687900000002,WEBSITE APOTEK ONLINE,pharmacy-mahira.com,Sektor Kesehatan,JABARSOFT TEKNOLOGI INDONESIA,2022-07-20,005145.02/DJAI.PSE/07/2022,https://pse.kominfo.go.id/storage/images/qr_code/2536efb57e23c1483db99eeb514f2202.png,TERDAFTAR,8026
tdpseTerbit,7093,190722006687900000001,WEBSITE PT JABARSOFT TEKNOLOGI INDONESIA,jabarsoft.com,Sektor Teknologi Informasi dan Komunikasi,JABARSOFT TEKNOLOGI INDONESIA,2022-07-19,005145.01/DJAI.PSE/07/2022,https://pse.kominfo.go.id/storage/images/qr_code/d3076a6f85867573ecab813b1ccc35c9.png,TERDAFTAR,6942
tdpseTerbit,7446,912001513116700010002,BPR CENTRAL PITOBY,bprcentralpitoby.com,Sektor Keuangan,BANK PERKREDITAN RAKYAT CENTRAL PITOBY,2022-07-20,005144.01/DJAI.PSE/07/2022,https://pse.kominfo.go.id/storage/images/qr_code/10ac9cf6796a5019a701330c5924a528.png,TERDAFTAR,7356
tdpseTerbit,7942,190722006325500000001,LAUTANPAY,lautanpay.com,Sektor Perdagangan,MUHAMMAD ARBI,2022-07-20,005143.01/DJAI.PSE/07/2022,https://pse.kominfo.go.id/storage/images/qr_code/417798bac6fdb741fb021f42350fc4dc.png,TERDAFTAR,7856
tdpseTerbit,7277,912030077275400010001,BPR ARTHA HUDA ABADI,arthahuda.co.id,Sektor Keuangan,BANK PERKREDITAN RAKYAT ARTHA HUDA ABADI,2022-07-19,005142.01/DJAI.PSE/07/2022,https://pse.kominfo.go.id/storage/images/qr_code/1afd6d53550eee8b040709e250af93e0.png,TERDAFTAR,7170
tdpseTerbit,7571,912010776340100020001,WEBSITE PT BPR RUDO INDOBANK,bprrudoindobank.com,Sektor Keuangan,BANK PERKREDITAN RAKYAT RUDO INDOBANK,2022-07-20,005141.01/DJAI.PSE/07/2022,https://pse.kominfo.go.id/storage/images/qr_code/4561fb3855de23cc4c94f89b22ecbd85.png,TERDAFTAR,7443
tdpseTerbit,7567,230921000698100010001,GETPAID,getpaid.asia,Sektor Keuangan,DIGITAL GAJI ASIA,2022-07-20,005140.01/DJAI.PSE/07/2022,https://pse.kominfo.go.id/storage/images/qr_code/1bde1ebe58120df238aacb454975a592.png,TERDAFTAR,7450
tdpseTerbit,7687,261021004266700010001,WEBSITE BPR SIRAYA KARYA BAKTI,bprsirayakaryabakti.com,Sektor Keuangan,BANK PERKREDITAN RAKYAT SIRAYA KARYA BAKTI,2022-07-20,005139.01/DJAI.PSE/07/2022,https://pse.kominfo.go.id/storage/images/qr_code/b52697b54f6c12a1a267271bbb75462e.png,TERDAFTAR,7597
