type,id,nomor_pb_umku,nama,website,sektor,nama_perusahaan,tanggal_daftar,nomor_tanda_daftar,qr_code,status_id,sistem_elektronik_id
tdpseTerbit,4714,140122000213900010001,KELASBERBAYAR,kelasberbayar.com,Sektor Teknologi Informasi dan Komunikasi,USAHA KITA MILYARAN,2022-06-23,003398.01/DJAI.PSE/06/2022,https://pse.kominfo.go.id/storage/images/qr_code/f60a870cec3f0272db02844a886e1073.png,TERDAFTAR,4668
tdpseTerbit,4709,912021414159900020001,MALLRAYSPEED,mallrayspeed.com,"Sektor Perdagangan, Sektor Transportasi, Sektor Teknologi Informasi dan Komunikasi",RAYSPID INDONESIA,2022-06-23,003395.01/DJAI.PSE/06/2022,https://pse.kominfo.go.id/storage/images/qr_code/c518b0f2e6bf8f4ad8092cf5147986ff.png,TERDAFTAR,4664
tdpseTerbit,4712,301221002425600020001,FAZPASS,fazpass.com,Sektor Teknologi Informasi dan Komunikasi,FAZPASS INTEGRASI INDONESIA,2022-06-23,003394.01/DJAI.PSE/06/2022,https://pse.kominfo.go.id/storage/images/qr_code/e904d0d2f279584d0ef2592f31cb58ba.png,TERDAFTAR,4665
tdpseTerbit,8185,812001925005100000003,ZALORA.CO.ID,zalora.co.id,Sektor Perdagangan,FASHION ESERVICES INDONESIA,2022-07-20,003393.02/DJAI.PSE/07/2022,https://pse.kominfo.go.id/storage/images/qr_code/6b5f701620803ada7325ec963e20c3cf.png,TERDAFTAR,8103
tdpseTerbit,4708,812001925005100000002,ZALORA,zalora.co.id,Sektor Perdagangan,FASHION ESERVICES INDONESIA,2022-06-23,003393.01/DJAI.PSE/06/2022,https://pse.kominfo.go.id/storage/images/qr_code/d15328095ed57ecec26f1888c1156114.png,TERDAFTAR,4663
tdpseTerbit,4704,912030239104200040001,BOSWISATA,boswisata.com,"Sektor Perdagangan, Sektor Teknologi Informasi dan Komunikasi",BOS SOLUSI WISATA,2022-06-23,003392.01/DJAI.PSE/06/2022,https://pse.kominfo.go.id/storage/images/qr_code/1212ac63944f22af429b0c40d028bc88.png,TERDAFTAR,4659
tdpseTerbit,8189,912021406196200010001,ZALORA.CO.ID,zalora.co.id,Sektor Perdagangan,FASHION MARKETPLACE INDONESIA,2022-07-20,003391.02/DJAI.PSE/07/2022,https://pse.kominfo.go.id/storage/images/qr_code/e76caed74ec3dbb1ff506a8a039c5bff.png,TERDAFTAR,8108
tdpseTerbit,4705,912021406196200000001,ZALORA,zalora.co.id,Sektor Perdagangan,FASHION MARKETPLACE INDONESIA,2022-06-23,003391.01/DJAI.PSE/06/2022,https://pse.kominfo.go.id/storage/images/qr_code/80fb3f4e05def54e3f0d59f4683b2b8e.png,TERDAFTAR,4661
tdpseTerbit,4707,130122002648600020001,GROWSIRE,growsir-e.com,Sektor Perdagangan,GROWSIRE KARYA INDONESIA,2022-06-23,003390.01/DJAI.PSE/06/2022,https://pse.kominfo.go.id/storage/images/qr_code/0242f175b33fd8a0c924e56430415f06.png,TERDAFTAR,4662
tdpseTerbit,5092,220622007782600000002,ESS-ON,elitsuksessekuritas.com,Sektor Keuangan,ELIT SUKSES SEKURITAS,2022-07-05,003389.02/DJAI.PSE/07/2022,https://pse.kominfo.go.id/storage/images/qr_code/6582610af1e95393d33282f065322787.png,TERDAFTAR,4946
