type,id,nomor_pb_umku,nama,website,sektor,nama_perusahaan,tanggal_daftar,nomor_tanda_daftar,qr_code,status_id,sistem_elektronik_id
tdpseTerbit,5043,912040173255900010002,KB APPS,-,Sektor Keuangan,KOOKMIN BEST INSURANCE INDONESIA,2022-07-04,003698.02/DJAI.PSE/07/2022,https://pse.kominfo.go.id/storage/images/qr_code/b98bbaf66ced7c6cc9b7e6b47a92d3b5.png,TERDAFTAR,4913
tdpseTerbit,5042,912040173255900010001,WEBSITE COMPANY PROFILE PT KB INSURANCE INDONESIA,kbinsure.co.id,Sektor Keuangan,KOOKMIN BEST INSURANCE INDONESIA,2022-07-04,003698.01/DJAI.PSE/07/2022,https://pse.kominfo.go.id/storage/images/qr_code/83815080133b8d443dea8f002ec9e1b0.png,TERDAFTAR,4912
tdpseTerbit,8264,022010576340700000001,PROFESI.IO,profesi.io,Sektor Teknologi Informasi dan Komunikasi,SRW ASIA,2022-07-20,003696.01/DJAI.PSE/07/2022,https://pse.kominfo.go.id/storage/images/qr_code/8e44a00a0d7b8bb31fb6532b96ceef1d.png,TERDAFTAR,8181
tdpseTerbit,8060,020200093244300130002,APLIKASI LAYANAN PDAM,-,Sektor Teknologi Informasi dan Komunikasi,KARYAWAN PEDAMI,2022-07-20,003679.05/DJAI.PSE/07/2022,https://pse.kominfo.go.id/storage/images/qr_code/acdb43b64ced804ad81c5dfbf0c5bd82.png,TERDAFTAR,7973
tdpseTerbit,5960,020200093244300130014,SASIRANGAN,-,Sektor Perdagangan,KARYAWAN PEDAMI,2022-07-16,003679.04/DJAI.PSE/07/2022,https://pse.kominfo.go.id/storage/images/qr_code/1bee12f2c1111dc96fe8e03eebfa99cc.png,TERDAFTAR,5821
tdpseTerbit,5870,020200093244300130004,INSTANT ORDER,-,Sektor Perdagangan,KARYAWAN PEDAMI,2022-07-15,003679.03/DJAI.PSE/07/2022,https://pse.kominfo.go.id/storage/images/qr_code/67f634f02a962b7afbdccb5f29bc09ae.png,TERDAFTAR,5734
tdpseTerbit,5861,020200093244300130001,"SASIRANGAN - SISTEM APLIKASI SIMPAN PINJAM, PENGADAAN DAN PERDAGANGAN",-,Sektor Perdagangan,KARYAWAN PEDAMI,2022-07-15,003679.02/DJAI.PSE/07/2022,https://pse.kominfo.go.id/storage/images/qr_code/c60c4b9bf1745c1f76d30e87538576d2.png,TERDAFTAR,5725
tdpseTerbit,5844,020200093244300130012,ABSENSI,-,Sektor Teknologi Informasi dan Komunikasi,KARYAWAN PEDAMI,2022-07-15,003679.01/DJAI.PSE/07/2022,https://pse.kominfo.go.id/storage/images/qr_code/c75e9d28126c3e5ff1c4d545e4d7875c.png,TERDAFTAR,5703
tdpseTerbit,5035,121300161124600000001,ENGLISHBILLION.COM,englishbillion.com,Sektor Perdagangan,LEIT LINGUA INTELEGENSIA,2022-07-03,003676.01/DJAI.PSE/07/2022,https://pse.kominfo.go.id/storage/images/qr_code/75be78aea1dac53acfa6bbd2e4220ac1.png,TERDAFTAR,4907
tdpseTerbit,5034,200522000006100150001,ARKANU,-,Sektor Perdagangan,ARYAN KARYA NUSA,2022-07-03,003672.01/DJAI.PSE/07/2022,https://pse.kominfo.go.id/storage/images/qr_code/2599c260802cd135f35334f1494bc61f.png,TERDAFTAR,4906
