type,id,nomor_pb_umku,nama,website,sektor,nama_perusahaan,tanggal_daftar,nomor_tanda_daftar,qr_code,status_id,sistem_elektronik_id
tdpseTerbit,932,null,"Aplikasi Ayopop, Digital Products API, Payment Point API, Autobilling, Smartpay, dan Ayoconnect Insight.",https://www.ayoconnect.id/ dan www.ayopop.id/en,"Sektor Perdagangan, Sektor Teknologi Informasi dan Komunikasi",AYOPOP TEKNOLOGI INDONESIA,2021-05-11,000704.01/DJAI.PSE/05/2021,https://pse.kominfo.go.id/storage/images/qr_code/098b674d3744f26cfce4ae322312bac8.png,TERDAFTAR,612
tdpseTerbit,1858,null,Motion Trade,"https:/www.mncsekuritas.id, https://otweb.mncsekuritas.id",Sektor Keuangan,MNC SEKURITAS,2021-08-09,000703.02/DJAI.PSE/08/2021,https://pse.kominfo.go.id/storage/images/qr_code/9ace3a9f8cf02bac0886b169bd82f677.png,TERDAFTAR,692
tdpseTerbit,931,null,MNC Trade New,www.mncsekuritas.id,Sektor Keuangan,MNC SEKURITAS,2021-05-11,000703.01/DJAI.PSE/05/2021,https://pse.kominfo.go.id/storage/images/qr_code/14c25d6621d362df048ad2c66c8572f0.png,TERDAFTAR,691
tdpseTerbit,1135,null,KISI Mobile,https://mobile.kisi.co.id,Sektor Keuangan,KOREA INVESTMENT AND SEKURITAS INDONESIA,2021-06-02,000702.02/DJAI.PSE/06/2021,https://pse.kominfo.go.id/storage/images/qr_code/d80cc7784f244ecd27247e0146933569.png,TERDAFTAR,636
tdpseTerbit,930,null,KOINS,https://kisi.co.id,Sektor Keuangan,KOREA INVESTMENT AND SEKURITAS INDONESIA,2021-05-11,000702.01/DJAI.PSE/05/2021,https://pse.kominfo.go.id/storage/images/qr_code/731029769d477339a65287b9df2653eb.png,TERDAFTAR,635
tdpseTerbit,7779,912040539211500060003,WEB VICTORIA SEKURITAS INDONESIA,victoria-sekuritas.co.id,Sektor Keuangan,VICTORIA SEKURITAS INDONESIA,2022-07-20,000701.03/DJAI.PSE/07/2022,https://pse.kominfo.go.id/storage/images/qr_code/7246e3409328ffdd8fd80b0f5f0e8cb8.png,TERDAFTAR,7697
tdpseTerbit,5110,,WEBSITE PT. VICTORIA SEKURITAS INDONESIA,victoria-sekuritas.co.id,Sektor Keuangan,VICTORIA SEKURITAS INDONESIA,2022-07-06,000701.02/DJAI.PSE/07/2022,https://pse.kominfo.go.id/storage/images/qr_code/eb1bdb4e08f62b3b98b4c83add7f734f.png,TERDAFTAR,4971
tdpseTerbit,929,null,Website PT Victoria Sekuritas Indonesia,www.victoria-sekuritas.co.id,Sektor Keuangan,VICTORIA SEKURITAS INDONESIA,2021-05-11,000701.01/DJAI.PSE/05/2021,https://pse.kominfo.go.id/storage/images/qr_code/c6c3a251e38af192a51463f768c33943.png,TERDAFTAR,678
tdpseTerbit,8398,,META WATER,metawater.id,Sektor Perdagangan,AKU CINTA MEMILES,2022-07-21,000700.02/DJAI.PSE/07/2022,https://pse.kominfo.go.id/storage/images/qr_code/7c5a1db816e7912180a82382fa7f34d3.png,TERDAFTAR,8316
tdpseTerbit,928,null,"memiles, miMI, meGames, meBuy",https://www.memiles.com,Sektor Perdagangan,AKU CINTA MEMILES,2021-05-11,000700.01/DJAI.PSE/05/2021,https://pse.kominfo.go.id/storage/images/qr_code/78cbebc907bb8772b9a67c6c30d66725.png,TERDAFTAR,2677
