type,id,nomor_pb_umku,nama,website,sektor,nama_perusahaan,tanggal_daftar,nomor_tanda_daftar,qr_code,status_id,sistem_elektronik_id
tdpseTerbit,6140,912001927083300020002,WEBSITE AMANTARA.COM,amantara.co.id,Sektor Keuangan,AMANTARA SEKURITAS INDONESIA,2022-07-18,004121.02/DJAI.PSE/07/2022,https://pse.kominfo.go.id/storage/images/qr_code/c5dd7ca4c39a825c46d0a2d3a2a16fdb.png,TERDAFTAR,6009
tdpseTerbit,6127,912001927083300020001,WEBSITE WWW.AMANTARA.COM,amantara.com,Sektor Keuangan,AMANTARA SEKURITAS INDONESIA,2022-07-18,004121.01/DJAI.PSE/07/2022,https://pse.kominfo.go.id/storage/images/qr_code/4d2273c128f881418d22268d0e5aff7b.png,TERDAFTAR,5994
tdpseTerbit,5808,812011702350700050004,ISOMEDIK,isomedik.com,Sektor Kesehatan,VIVA MEDIKA,2022-07-15,004120.04/DJAI.PSE/07/2022,https://pse.kominfo.go.id/storage/images/qr_code/3dadc8cc8238bda2d616d8f52a418573.png,TERDAFTAR,5671
tdpseTerbit,5805,812011702350700050003,ISO APP,isomedik.com,Sektor Kesehatan,VIVA MEDIKA,2022-07-15,004120.03/DJAI.PSE/07/2022,https://pse.kominfo.go.id/storage/images/qr_code/3655c7e2e6c99706b9b49e34cb6b07f5.png,TERDAFTAR,5668
tdpseTerbit,5512,812011702350700050002,VIVA MEDIKA APPS,vivamedika.id,Sektor Kesehatan,VIVA MEDIKA,2022-07-13,004120.02/DJAI.PSE/07/2022,https://pse.kominfo.go.id/storage/images/qr_code/59198fe625bde5a828f1a662f2caf2ac.png,TERDAFTAR,5374
tdpseTerbit,5509,812011702350700050001,VIVA MEDIKA,Vivamedika.id,Sektor Kesehatan,VIVA MEDIKA,2022-07-13,004120.01/DJAI.PSE/07/2022,https://pse.kominfo.go.id/storage/images/qr_code/a9e0d2d14a7dd2723b7382aa9ddb60c5.png,TERDAFTAR,5372
tdpseTerbit,8851,121700342281800030003,VEXASCAN.COM,-,Sektor Teknologi Informasi dan Komunikasi,VEXANIUM TEKNOLOGI NUSANTARA,2022-07-22,004118.02/DJAI.PSE/07/2022,https://pse.kominfo.go.id/storage/images/qr_code/5c37e611e6994354a836c88322cabe82.png,TERDAFTAR,8757
tdpseTerbit,8446,121700342281800030002,VEXANIUM,vexanium.com,Sektor Teknologi Informasi dan Komunikasi,VEXANIUM TEKNOLOGI NUSANTARA,2022-07-21,004118.01/DJAI.PSE/07/2022,https://pse.kominfo.go.id/storage/images/qr_code/84a5d46bccd2c34563fe4c002aaf094f.png,TERDAFTAR,8365
tdpseTerbit,5834,022030270200200000001,VIP VOUCHER,vipvoucher.id,"Sektor Perdagangan, Sektor Teknologi Informasi dan Komunikasi",VOUCHER IMPERIAL PERSADA,2022-07-15,004117.01/DJAI.PSE/07/2022,https://pse.kominfo.go.id/storage/images/qr_code/0792d71fbeef317cc4e01445c40b0fcd.png,TERDAFTAR,5693
tdpseTerbit,6473,200422001944500010001,HTTPS://ID.ALLIANZGI.COM/,id.allianzgi.com,Sektor Keuangan,ALLIANZ GLOBAL INVESTORS ASSET MANAGEMENT INDONESIA,2022-07-18,004116.01/DJAI.PSE/07/2022,https://pse.kominfo.go.id/storage/images/qr_code/54419f3e3cc0fe681903a2ad071e5c31.png,TERDAFTAR,6336
