type,id,nomor_pb_umku,nama,website,sektor,nama_perusahaan,tanggal_daftar,nomor_tanda_daftar,qr_code,status_id,sistem_elektronik_id
tdpseTerbit,4444,null,Website dan websistem,bravosolutionindonesia.com,Sektor Teknologi Informasi dan Komunikasi,BRAVO SOLUTION INDONESIA,2022-05-12,002675.01/DJAI.PSE/05/2022,https://pse.kominfo.go.id/storage/images/qr_code/ba5e7cbfbf3309d53b02c762a525df13.png,TERDAFTAR,4428
tdpseTerbit,4442,null,RANUP SIGAPU,-,Sektor Perdagangan,RANUP SIGAPU,2022-05-12,002674.01/DJAI.PSE/05/2022,https://pse.kominfo.go.id/storage/images/qr_code/104422e2ad5ebfa7208cc61342957890.png,TERDAFTAR,4426
tdpseTerbit,4586,null,BITRAS,bitras.com,"Sektor Perdagangan, Sektor Pertahanan dan Keamanan, Sektor Teknologi Informasi dan Komunikasi, Sektor Transportasi",BITRAS,2022-05-11,002673.01/DJAI.PSE/05/2022,https://pse.kominfo.go.id/storage/images/qr_code/a1aef409e82321de1b606df07677e90b.png,TERDAFTAR,4549
tdpseTerbit,4441,null,natindocargo.com,natindocargo.com,Sektor Perdagangan,NATINDO SEJAHTERA INDONESIA,2022-05-11,002672.01/DJAI.PSE/05/2022,https://pse.kominfo.go.id/storage/images/qr_code/77e0dd44debdc28f4062f448d39f0ff3.png,TERDAFTAR,4425
tdpseTerbit,4440,null,o'sweet singapore,https://osweetsingapore.com/,Sektor Perdagangan,ARKATAMA CAKKAVATI INDONESIA,2022-05-11,002671.01/DJAI.PSE/05/2022,https://pse.kominfo.go.id/storage/images/qr_code/c8688e20520600ce3300a89e3c08c53b.png,TERDAFTAR,4424
tdpseTerbit,4439,null,PanenID,www.panen.id,Sektor Perdagangan,PANEN INDONESIA SEJAHTERA,2022-05-11,002670.01/DJAI.PSE/05/2022,https://pse.kominfo.go.id/storage/images/qr_code/d0dfd080b3275a6758ec5a2e32153982.png,TERDAFTAR,4423
tdpseTerbit,4438,null,lippershop,lippershop.id,Sektor Perdagangan,ANDARA BARATA SUKSES,2022-05-11,002669.01/DJAI.PSE/05/2022,https://pse.kominfo.go.id/storage/images/qr_code/c160101557a6d69fce8a384ccb2fa786.png,TERDAFTAR,4422
tdpseTerbit,4437,null,Savesola,lippershop.id,Sektor Perdagangan,KHARISMA SENTOSA RETAIL,2022-05-11,002668.01/DJAI.PSE/05/2022,https://pse.kominfo.go.id/storage/images/qr_code/f5cd18ad8aea6b9306f8c2de53fb20cc.png,TERDAFTAR,4421
tdpseTerbit,4436,null,Reflow Indonesia,reflowindonesia.id,Sektor Teknologi Informasi dan Komunikasi,BERJAYA KREASI INDONESIA,2022-05-11,002667.01/DJAI.PSE/05/2022,https://pse.kominfo.go.id/storage/images/qr_code/5ff2186e0bb64db3d982fc1c8482fb18.png,TERDAFTAR,4420
tdpseTerbit,4435,null,Marketplace & Kemitraan Usaha,www.marketani.com,"Sektor Keuangan, Sektor Pangan, Sektor Perdagangan",PASAR TANI INDONESIA,2022-05-11,002666.02/DJAI.PSE/05/2022,https://pse.kominfo.go.id/storage/images/qr_code/46db7ae4e030e71e755f83e347a8e2cd.png,TERDAFTAR,4419
