type,id,nomor_pb_umku,nama,website,sektor,nama_perusahaan,tanggal_daftar,nomor_tanda_daftar,qr_code,status_id,sistem_elektronik_id
tdpseTerbit,6721,912020132272800010001,COREBANKING SISTEM,-,Sektor Keuangan,BANK PERKREDITAN RAKYAT JETIS,2022-07-19,004809.01/DJAI.PSE/07/2022,https://pse.kominfo.go.id/storage/images/qr_code/98a71bf46a18992d9a0f3cef50c21f41.png,TERDAFTAR,6569
tdpseTerbit,6564,912010584273300010001,BPR KINTAMAS MITRA DANA,bprkmd.com,Sektor Keuangan,BANK PERKREDITAN RAKYAT KINTAMAS MITRA DANA,2022-07-19,004807.01/DJAI.PSE/07/2022,https://pse.kominfo.go.id/storage/images/qr_code/07f64d41de847197e008afa5767f9dda.png,TERDAFTAR,6422
tdpseTerbit,6573,250122005855300000001,PULSA GADGET,-,"Sektor Perdagangan, Sektor Teknologi Informasi dan Komunikasi",PULSA GADGET,2022-07-19,004806.01/DJAI.PSE/07/2022,https://pse.kominfo.go.id/storage/images/qr_code/e92bb8061679b55ec857cc47265ba3e2.png,TERDAFTAR,6431
tdpseTerbit,6586,125600054267600000001,KUPAS.K,kupas.in,Sektor Pangan,KAMAL DWI RASYID,2022-07-19,004804.01/DJAI.PSE/07/2022,https://pse.kominfo.go.id/storage/images/qr_code/7b430821d209b83c549e0a9cc8f3d2b8.png,TERDAFTAR,6446
tdpseTerbit,8448,022000312190400010001,BANK PERKREDITAN RAKYAT CITRA DARMA WANGSA,bprcitradarmawangsa.com,Sektor Keuangan,BANK PERKREDITAN RAKYAT CITRA DARMA WANGSA,2022-07-21,004803.01/DJAI.PSE/07/2022,https://pse.kominfo.go.id/storage/images/qr_code/db67a3547ec4920d9ee37e6f375061e9.png,TERDAFTAR,8366
tdpseTerbit,6663,126300052094900040001,CORE BANKING SYSTEM IBA,bprsdharmakuwera.com,Sektor Keuangan,BANK PEMBIAYAAN RAKYAT SYARIAH DHARMA KUWERA,2022-07-19,004802.01/DJAI.PSE/07/2022,https://pse.kominfo.go.id/storage/images/qr_code/99d819ea6fd77e9591f4c1b59a8d43bf.png,TERDAFTAR,6514
tdpseTerbit,6664,912010050144400010001,PT. BPR PRIMA MERTOYUDAN SEJAHTERA,bprprimamagelang.com,Sektor Keuangan,BANK PERKREDITAN RAKYAT PRIMA MERTOYUDAN SEJAHTERA,2022-07-19,004801.01/DJAI.PSE/07/2022,https://pse.kominfo.go.id/storage/images/qr_code/64626c99f7fadb78157498ca87ed6b1f.png,TERDAFTAR,6517
tdpseTerbit,7131,912010595142900010001,EBPR,ukabima-lumbung-sejahtera.co.id,Sektor Keuangan,BANK PERKREDITAN RAKYAT UKABIMA LUMBUNG SEJAHTERA,2022-07-19,004800.01/DJAI.PSE/07/2022,https://pse.kominfo.go.id/storage/images/qr_code/85e09fce9c7bd54317433d9fcdd47b6b.png,TERDAFTAR,7007
tdpseTerbit,6603,091121004191600000001,BETTERCHOCOLATETHANNEVER,betterchocolatethannever.com,"Sektor Perdagangan, Sektor Pangan",DELIMA SELARAS,2022-07-19,004799.01/DJAI.PSE/07/2022,https://pse.kominfo.go.id/storage/images/qr_code/059a9610ebf94ec83da42351bbe2bf55.png,TERDAFTAR,6458
tdpseTerbit,6547,190722000530600000001,PT BPR SEMBILAN MUTIARA,-,Sektor Keuangan,BPR SEMBILAN MUTIARA,2022-07-19,004798.01/DJAI.PSE/07/2022,https://pse.kominfo.go.id/storage/images/qr_code/93fdf82aeb1dcee82f730297452a4d70.png,TERDAFTAR,6409
