type,id,nomor_pb_umku,nama,website,sektor,nama_perusahaan,tanggal_daftar,nomor_tanda_daftar,qr_code,status_id,sistem_elektronik_id
tdpseTerbit,5807,912020077178500010002,WEBSITE PENGADUAN NASABAH BPR MODERN EXPRESS,atm.bprmodex.com,Sektor Keuangan,BANK PERKREDITAN RAKYAT MODERN EXPRESS,2022-07-15,004263.02/DJAI.PSE/07/2022,https://pse.kominfo.go.id/storage/images/qr_code/00f87c82a3f15538bf17fb0b946a5cde.png,TERDAFTAR,5667
tdpseTerbit,5765,912020077178500010001,WEBSITE PERUSAHAAN BPR MODERN EXPRESS,bprmodern.com,Sektor Keuangan,BANK PERKREDITAN RAKYAT MODERN EXPRESS,2022-07-15,004263.01/DJAI.PSE/07/2022,https://pse.kominfo.go.id/storage/images/qr_code/d6cde9938adfad5e7268885fa3837e82.png,TERDAFTAR,5629
tdpseTerbit,5756,912020679108600000001,PT BPR SAMAWA KENCANA,-,Sektor Keuangan,BANK PERKREDITAN RAKYAT SAMAWA KENCANA,2022-07-15,004262.01/DJAI.PSE/07/2022,https://pse.kominfo.go.id/storage/images/qr_code/fd7a72a5dc8dcbe4495a0eaabcbda547.png,TERDAFTAR,5620
tdpseTerbit,5743,230322005202500010001,PT BANK PERKREDTAN RAKYAT SARANTAU SASURAMBI,-,Sektor Keuangan,BANK PERKREDITAN RAKYAT SARANTAU SASURAMBI,2022-07-15,004261.01/DJAI.PSE/07/2022,https://pse.kominfo.go.id/storage/images/qr_code/6bfefc679a6b65ed321e4943d3b6da8f.png,TERDAFTAR,5605
tdpseTerbit,5709,030622006169300000001,KONTER 24 JAM,konter24jam.com,"Sektor Perdagangan, Sektor Teknologi Informasi dan Komunikasi",KONTER DUA EMPAT,2022-07-15,004260.01/DJAI.PSE/07/2022,https://pse.kominfo.go.id/storage/images/qr_code/427d9da0f066ca66c3ad471433e83407.png,TERDAFTAR,5573
tdpseTerbit,5759,128500021059100010001,PT BANK PERKREDITAN RAKYAT NUSANTARA BONA PASOGIT 1,-,Sektor Keuangan,BANK PERKREDITAN RAKYAT NUSANTARA BONA PASOGIT 1,2022-07-15,004259.01/DJAI.PSE/07/2022,https://pse.kominfo.go.id/storage/images/qr_code/ee852d1648e6a33c69f7a1e0482b7cd0.png,TERDAFTAR,5624
tdpseTerbit,5722,912010686152200010001,PT BPR MINDOSARI,-,Sektor Keuangan,BANK PERKREDITAN RAKYAT MINDOSARI,2022-07-15,004258.01/DJAI.PSE/07/2022,https://pse.kominfo.go.id/storage/images/qr_code/de99e5f29000ab30d92c5962ca5c9b3f.png,TERDAFTAR,5586
tdpseTerbit,5708,300921002898300020001,PT. BPR DELTA ARTHA KENCANA,-,Sektor Keuangan,BANK PERKREDITAN RAKYAT DELTA ARTHA KENCANA,2022-07-15,004257.01/DJAI.PSE/07/2022,https://pse.kominfo.go.id/storage/images/qr_code/0312d612eb7dbc22998dc19131910d6b.png,TERDAFTAR,5571
tdpseTerbit,5695,022000859078200010001,LAHAN SIKAM,lahansikam.co.id,Sektor Keuangan,LAMPUNG BERKAH FINANSIAL TEKNOLOGI,2022-07-15,004255.01/DJAI.PSE/07/2022,https://pse.kominfo.go.id/storage/images/qr_code/a37caa3f1a5736e5ed2374dcd9b16b4e.png,TERDAFTAR,5558
tdpseTerbit,5700,127800060289400010001,WWW.BPRLINGGASEJAHTERA.CO.ID,bprlinggasejahtera.co.id,Sektor Keuangan,BANK PERKREDITAN RAKYAT LINGGA SEJAHTERA,2022-07-15,004254.01/DJAI.PSE/07/2022,https://pse.kominfo.go.id/storage/images/qr_code/2ce04f740ef3e485eca99f5e2b64feae.png,TERDAFTAR,5564
