type,id,nomor_pb_umku,nama,website,sektor,nama_perusahaan,tanggal_daftar,nomor_tanda_daftar,qr_code,status_id,sistem_elektronik_id
tdpseTerbit,1364,null,BWS Internet Banking Business,https://www.bankwoorisaudara.com/,Sektor Keuangan,BANK WOORI SAUDARA INDONESIA 1906,2021-06-02,000909.02/DJAI.PSE/06/2021,https://pse.kominfo.go.id/storage/images/qr_code/dec3a14545f8ec1c93c28ebe5437d276.png,TERDAFTAR,968
tdpseTerbit,1363,null,BWS Internet Banking Individual,https://www.bankwoorisaudara.com/,Sektor Keuangan,BANK WOORI SAUDARA INDONESIA 1906,2021-06-02,000909.01/DJAI.PSE/06/2021,https://pse.kominfo.go.id/storage/images/qr_code/a1fb39797ee5d0d90ce605b7f3888c58.png,TERDAFTAR,967
tdpseTerbit,1362,null,www.mazaya.co.id (Mazaya Cosmetics),www.mazaya.co.id,Sektor Perdagangan,PESONA AMARANTHINE COSMETIQUES,2021-06-02,000908.01/DJAI.PSE/06/2021,https://pse.kominfo.go.id/storage/images/qr_code/904ef0d6bc7b2654c2ca84fb6d2b35f1.png,TERDAFTAR,3480
tdpseTerbit,1367,null,Toko Netzme,netzme.id,"Sektor Keuangan, Sektor Perdagangan",NETZME KREASI INDONESIA,2021-06-02,000907.02/DJAI.PSE/06/2021,https://pse.kominfo.go.id/storage/images/qr_code/c8453405731993289b677549617ccacc.png,TERDAFTAR,503
tdpseTerbit,1361,null,Netzme,netzme.id,Sektor Keuangan,NETZME KREASI INDONESIA,2021-06-02,000907.01/DJAI.PSE/06/2021,https://pse.kominfo.go.id/storage/images/qr_code/a6befcc53ee2d4a58b033c4a01596482.png,TERDAFTAR,502
tdpseTerbit,1358,null,Bank Saham,www.banksaham.com,"Sektor Keuangan, Sektor Teknologi Informasi dan Komunikasi",BUANA SAHAM HARTINI HASAN,2021-06-02,000906.01/DJAI.PSE/06/2021,https://pse.kominfo.go.id/storage/images/qr_code/0f11c81bee44d1888cc83f17964057d1.png,TERDAFTAR,973
tdpseTerbit,1356,null,Website Flolab,http://www.flolab.co/,Sektor Teknologi Informasi dan Komunikasi,STUDIO FLO LAB,2021-06-02,000905.01/DJAI.PSE/06/2021,https://pse.kominfo.go.id/storage/images/qr_code/7f50ceda96c40da3f025bb913de37986.png,TERDAFTAR,785
tdpseTerbit,1355,null,Moni - Catatan Keuangan Otomatis Gratis,moni.id,Sektor Teknologi Informasi dan Komunikasi,MUDAH ATUR UANG,2021-06-02,000904.01/DJAI.PSE/06/2021,https://pse.kominfo.go.id/storage/images/qr_code/d0dcb51eb0cf67fc63cb42fdff1b43b8.png,TERDAFTAR,257
tdpseTerbit,1353,null,Electronic Know Your Customer,www.rhbtradesmart.co.id,Sektor Keuangan,RHB SEKURITAS INDONESIA,2021-06-02,000903.02/DJAI.PSE/06/2021,https://pse.kominfo.go.id/storage/images/qr_code/78112cc3e012ce2af36b27871078f0a9.png,TERDAFTAR,981
tdpseTerbit,1352,null,RHB Tradesmart ID,www.rhbtradesmart.co.id,Sektor Keuangan,RHB SEKURITAS INDONESIA,2021-06-02,000903.01/DJAI.PSE/06/2021,https://pse.kominfo.go.id/storage/images/qr_code/d977ee15bb79899179d30396c7d82e48.png,TERDAFTAR,980
