type,id,nomor_pb_umku,nama,website,sektor,nama_perusahaan,tanggal_daftar,nomor_tanda_daftar,qr_code,status_id,sistem_elektronik_id
tdpseTerbit,9389,220722004540500000003,HEDGREN.ID,hedgren.co.id,Sektor Perdagangan,GRANDIA PRIMATAMA SENTOSA,2022-07-29,006410.03/DJAI.PSE/07/2022,https://pse.kominfo.go.id/storage/images/qr_code/97ee5c802af9f8672cc92a2b94965abd.png,TERDAFTAR,9300
tdpseTerbit,9388,220722004540500000002,HYDROFLASK.ID,hydroflask.id,Sektor Perdagangan,GRANDIA PRIMATAMA SENTOSA,2022-07-29,006410.02/DJAI.PSE/07/2022,https://pse.kominfo.go.id/storage/images/qr_code/552c43d521cb37473177957cecf3c454.png,TERDAFTAR,9298
tdpseTerbit,9387,220722004540500000001,PT. GRANDIA PRIMATAMA SENTOSA,columbiasportswear.id,Sektor Perdagangan,GRANDIA PRIMATAMA SENTOSA,2022-07-29,006410.01/DJAI.PSE/07/2022,https://pse.kominfo.go.id/storage/images/qr_code/769d49eb613e054b60fcc71fa77a1aec.png,TERDAFTAR,9297
tdpseTerbit,9186,,TECHNOGIS,technogis.co.id,Sektor Teknologi Informasi dan Komunikasi,BILLION TECHNOLOGY,2022-07-27,006408.05/DJAI.PSE/07/2022,https://pse.kominfo.go.id/storage/images/qr_code/b5575ebae2b831b14ccaa9aa62b5e505.png,TERDAFTAR,9096
tdpseTerbit,9183,812021928087900010004,WEB101,web101.co.id,Sektor Teknologi Informasi dan Komunikasi,BILLION TECHNOLOGY,2022-07-27,006408.04/DJAI.PSE/07/2022,https://pse.kominfo.go.id/storage/images/qr_code/9129b2603a38cdfc2dc5c07d79b7eb11.png,TERDAFTAR,9093
tdpseTerbit,9182,812021928087900010003,JAGOWEBDESIGN,jagowebdesign.com,Sektor Teknologi Informasi dan Komunikasi,BILLION TECHNOLOGY,2022-07-27,006408.03/DJAI.PSE/07/2022,https://pse.kominfo.go.id/storage/images/qr_code/5651018d9f32585c6de2a92987279210.png,TERDAFTAR,9091
tdpseTerbit,9181,812021928087900010002,JAGOWEB,jagoweb.com,Sektor Teknologi Informasi dan Komunikasi,BILLION TECHNOLOGY,2022-07-27,006408.02/DJAI.PSE/07/2022,https://pse.kominfo.go.id/storage/images/qr_code/89b61147d14b76d43b50cf6c20d8462a.png,TERDAFTAR,9089
tdpseTerbit,9131,812021928087900010001,KANTOR KITA,kantorkita.co.id,Sektor Teknologi Informasi dan Komunikasi,BILLION TECHNOLOGY,2022-07-27,006408.01/DJAI.PSE/07/2022,https://pse.kominfo.go.id/storage/images/qr_code/9cb5c056c4e59462c7b8cc17e0192956.png,TERDAFTAR,9040
tdpseTerbit,9361,812031127085600080001,PENGGUNAAN SPEKTRUM FREKUENSI RADIO HT,swabina.id,Sektor Perdagangan,SWABINA GATRA,2022-07-29,006407.01/DJAI.PSE/07/2022,https://pse.kominfo.go.id/storage/images/qr_code/b705b0576be205e9a7a9be8f722a9a8e.png,TERDAFTAR,9263
tdpseTerbit,9104,270722000450600000001,TOKO ONLINE DAYYAN,-,Sektor Perdagangan,SOFYAN PANIGORO,2022-07-27,006406.01/DJAI.PSE/07/2022,https://pse.kominfo.go.id/storage/images/qr_code/d0cea059dce95e05b053b47e03cdef1e.png,TERDAFTAR,9013
