type,id,nomor_pb_umku,nama,website,sektor,nama_perusahaan,tanggal_daftar,nomor_tanda_daftar,qr_code,status_id,sistem_elektronik_id
tdpseTerbit,7077,300921002426600070001,KIDSQWEST,ns-1380.awsdns-44.org,Sektor Teknologi Informasi dan Komunikasi,ACKTEC PRASAMA INDONESIA,2022-07-19,005097.01/DJAI.PSE/07/2022,https://pse.kominfo.go.id/storage/images/qr_code/3111a55de5ecc95c17f3678a15e619a8.png,TERDAFTAR,6927
tdpseTerbit,7079,912010167151200010001,DISNEY+ HOTSTAR,hotstar.com,"Sektor Perdagangan, Sektor Teknologi Informasi dan Komunikasi",WALT DISNEY INDONESIA,2022-07-19,005096.01/DJAI.PSE/07/2022,https://pse.kominfo.go.id/storage/images/qr_code/ce0c12e1c938ff3b78c0c813006c44f4.png,TERDAFTAR,6948
tdpseTerbit,7312,912000463267100040002,EDUCA STUDIO,educastudio.com,Sektor Teknologi Informasi dan Komunikasi,EDUCA SISFOMEDIA INDONESIA,2022-07-20,005095.01/DJAI.PSE/07/2022,https://pse.kominfo.go.id/storage/images/qr_code/d102f28f08788ab0e18bf6c5b3e20bb6.png,TERDAFTAR,7208
tdpseTerbit,6985,912050770118200010001,PT BPR NIJI,bprniji.com,Sektor Keuangan,PT Bank Perkreditan Rakyat Niji,2022-07-19,005094.01/DJAI.PSE/07/2022,https://pse.kominfo.go.id/storage/images/qr_code/2acb5dd6bffc33f66eed9955e3e35c71.png,TERDAFTAR,6842
tdpseTerbit,8543,122700142154600000004,ORDERPIN,orderpin.id,Sektor Perdagangan,MOBADIYA TEKNOLOGI GRUP,2022-07-21,005093.03/DJAI.PSE/07/2022,https://pse.kominfo.go.id/storage/images/qr_code/d9dc26a00c463fe645128a21a3ba3e0e.png,TERDAFTAR,8457
tdpseTerbit,8538,122700142154600000003,YUMMY ADVISOR,yummyadvisor.id,Sektor Perdagangan,MOBADIYA TEKNOLOGI GRUP,2022-07-21,005093.02/DJAI.PSE/07/2022,https://pse.kominfo.go.id/storage/images/qr_code/f6c191aeadb61b8a9fd724fb76538926.png,TERDAFTAR,8443
tdpseTerbit,8498,122700142154600000002,DISOO,disoo.com,Sektor Perdagangan,MOBADIYA TEKNOLOGI GRUP,2022-07-21,005093.01/DJAI.PSE/07/2022,https://pse.kominfo.go.id/storage/images/qr_code/6623bc0a1c2c2f9fdc0db2e41a8a2c9e.png,TERDAFTAR,8410
tdpseTerbit,6971,050122003854700060001,VIZITRIP,vizitrip.com,Sektor Teknologi Informasi dan Komunikasi,VIZITRIP GLOBAL TOUR,2022-07-19,005092.01/DJAI.PSE/07/2022,https://pse.kominfo.go.id/storage/images/qr_code/1778107442a514fe0d520b158c8aa77a.png,TERDAFTAR,6825
tdpseTerbit,8432,812011224046800010002,EMAS MOBILE,-,Sektor Keuangan,BANK PERKREDITAN RAKYAT ENGGAL MAKMUR ADI SANTOSO,2022-07-21,005091.02/DJAI.PSE/07/2022,https://pse.kominfo.go.id/storage/images/qr_code/d7d67276170d511a777f254c731ec32b.png,TERDAFTAR,8351
tdpseTerbit,7018,812011224046800010001,HTTP://ENGGALMAKMURADISANTOSO.COM/,enggalmakmuradisantoso.com,Sektor Keuangan,BANK PERKREDITAN RAKYAT ENGGAL MAKMUR ADI SANTOSO,2022-07-19,005091.01/DJAI.PSE/07/2022,https://pse.kominfo.go.id/storage/images/qr_code/7dd4d096b34165b108576f6bd18cb20a.png,TERDAFTAR,6857
