type,id,nomor_pb_umku,nama,website,sektor,nama_perusahaan,tanggal_daftar,nomor_tanda_daftar,qr_code,status_id,sistem_elektronik_id
tdpseTerbit,4497,null,Punyabersama.id,beta2.punyabersama.id,Sektor Keuangan,BERSAMA MILIK BANGSA,2022-05-19,002720.01/DJAI.PSE/05/2022,https://pse.kominfo.go.id/storage/images/qr_code/f79208f07480729333debca7384053da.png,TERDAFTAR,4481
tdpseTerbit,4496,null,Hotel Swift Inn Aeropolis Jakarta,www.swiftinns.com,Sektor Perdagangan,ESTRELLA DUABELAS INDONESIA,2022-05-19,002719.01/DJAI.PSE/05/2022,https://pse.kominfo.go.id/storage/images/qr_code/3ab98ea6760892d0c12886ee77157e98.png,TERDAFTAR,4480
tdpseTerbit,4495,null,PT Kerinci Merangin Hidro,-,Sektor Energi dan Sumber Daya Mineral,KERINCI MERANGIN HIDRO,2022-05-19,002718.01/DJAI.PSE/05/2022,https://pse.kominfo.go.id/storage/images/qr_code/d718395d31be611e0dcb8977a16e4f59.png,TERDAFTAR,4479
tdpseTerbit,4466,null,Website Yakult,yakult.co.id,Sektor Perdagangan,YAKULT INDONESIA PERSADA,2022-05-19,002717.01/DJAI.PSE/05/2022,https://pse.kominfo.go.id/storage/images/qr_code/e3ccc555cf50bf7dfe15440897b44d3a.png,TERDAFTAR,4450
tdpseTerbit,4494,null,Formi,formi.id,Sektor Kesehatan,FORMI UNTUNG BERSAMA,2022-05-19,002716.01/DJAI.PSE/05/2022,https://pse.kominfo.go.id/storage/images/qr_code/db7e4f36f23e95ba4a0af6dbb980eb96.png,TERDAFTAR,4478
tdpseTerbit,4493,null,BrownMix Factory Indonesia,-,Sektor Perdagangan,BROWNMIX FACTORY INDONESIA,2022-05-19,002715.01/DJAI.PSE/05/2022,https://pse.kominfo.go.id/storage/images/qr_code/608da059620b7ca6abd57c20435e4012.png,TERDAFTAR,4477
tdpseTerbit,4492,null,Runchise,runchise.com,Sektor Teknologi Informasi dan Komunikasi,TEKNOLOGI KULINER KEKINIAN,2022-05-18,002714.01/DJAI.PSE/05/2022,https://pse.kominfo.go.id/storage/images/qr_code/d2f0d641f918e3c54a4fa5f7acab7ab7.png,TERDAFTAR,4476
tdpseTerbit,4491,null,EAGLE JEK,-,"Sektor Teknologi Informasi dan Komunikasi, Sektor Transportasi",EMILIANUS SAMSON,2022-05-18,002713.01/DJAI.PSE/05/2022,https://pse.kominfo.go.id/storage/images/qr_code/f99d407d4e9ade601d0ff2adf1e8a9df.png,TERDAFTAR,4475
tdpseTerbit,8349,812020280021300010011,GAME CONTRA RETURNS,-,Sektor Teknologi Informasi dan Komunikasi,GARENA INDONESIA,2022-07-20,002712.12/DJAI.PSE/07/2022,https://pse.kominfo.go.id/storage/images/qr_code/44190e56c0bfb0a9a1cd6563dac74c71.png,TERDAFTAR,8268
tdpseTerbit,8140,812020280021300010010,BLOCKMAN GO,-,Sektor Teknologi Informasi dan Komunikasi,GARENA INDONESIA,2022-07-20,002712.11/DJAI.PSE/07/2022,https://pse.kominfo.go.id/storage/images/qr_code/a45df8442e2eee8e2f71b10fc6ad6612.png,TERDAFTAR,8041
