type,id,nomor_pb_umku,nama,website,sektor,nama_perusahaan,tanggal_daftar,nomor_tanda_daftar,qr_code,status_id,sistem_elektronik_id
tdpseTerbit,3947,null,PANENSAHAM,panensaham.com,Sektor Teknologi Informasi dan Komunikasi,CARMEL ANUGERAH MANDIRI,2022-04-20,002566.01/DJAI.PSE/04/2022,https://pse.kominfo.go.id/storage/images/qr_code/c1c44101418da90c43dbbbd05fd79b09.png,TERDAFTAR,3959
tdpseTerbit,3944,null,Japanese Music ID,japanesemusicid.com,Sektor Teknologi Informasi dan Komunikasi,RADIOSTAR KREASI MEDIA,2022-04-20,002565.01/DJAI.PSE/04/2022,https://pse.kominfo.go.id/storage/images/qr_code/8ff77110e774b7229c548f79f1d0e7b7.png,TERDAFTAR,3772
tdpseTerbit,3943,null,Starlink Global Network,starlink.id,Sektor Teknologi Informasi dan Komunikasi,PT STARLINK GLOBAL NETWORK,2022-04-20,002564.01/DJAI.PSE/04/2022,https://pse.kominfo.go.id/storage/images/qr_code/eae25e26fb9cf11f6c1945e71cdb8b62.png,TERDAFTAR,3837
tdpseTerbit,3942,null,Tentang Anak,www.tentanganak.id,Sektor Teknologi Informasi dan Komunikasi,TENTANG ANAK BAHAGIA,2022-04-20,002563.01/DJAI.PSE/04/2022,https://pse.kominfo.go.id/storage/images/qr_code/71f5af20f2b7b7fa4e22a01f49c407e6.png,TERDAFTAR,3833
tdpseTerbit,4595,null,Dondon Haru Japan,www.dondonharu.jp,"Sektor Perdagangan, Sektor Teknologi Informasi dan Komunikasi",DONDON OOKIKU NARU,2022-04-20,002562.01/DJAI.PSE/04/2022,https://pse.kominfo.go.id/storage/images/qr_code/8c993f66c8a4fdbb2f2e576455ac8316.png,TERDAFTAR,4558
tdpseTerbit,3940,null,ABS DIGITAL,abs.net.id,"Sektor Perdagangan, Sektor Teknologi Informasi dan Komunikasi",ABS MULTIMEDIA INDONESIA,2022-04-20,002561.02/DJAI.PSE/04/2022,https://pse.kominfo.go.id/storage/images/qr_code/9aae5167620965a1a12b991dba0496d7.png,TERDAFTAR,3911
tdpseTerbit,3939,null,ABS.Net,abs.net.id,Sektor Teknologi Informasi dan Komunikasi,ABS MULTIMEDIA INDONESIA,2022-04-20,002561.01/DJAI.PSE/04/2022,https://pse.kominfo.go.id/storage/images/qr_code/8149849f6e6a7124a7535b195e110d01.png,TERDAFTAR,3910
tdpseTerbit,3938,null,Warung Kita Merchant,www.warungkita.info,Sektor Perdagangan,BASISTA TEAMWORK,2022-04-19,002560.01/DJAI.PSE/04/2022,https://pse.kominfo.go.id/storage/images/qr_code/4f4520ae1cc2e7beaed0b92ed84ce22a.png,TERDAFTAR,3739
tdpseTerbit,3937,null,ikreasi,ikreasi.com,Sektor Teknologi Informasi dan Komunikasi,KREASI DIGITAL PERKASA,2022-04-19,002559.01/DJAI.PSE/04/2022,https://pse.kominfo.go.id/storage/images/qr_code/dcb23ccbeae1c2db7c079b89e74b750e.png,TERDAFTAR,3887
tdpseTerbit,5335,812011302055500020005,MEDICILLIN,medicillin.com,Sektor Keuangan,ZURICH ASURANSI INDONESIA,2022-07-12,002558.04/DJAI.PSE/07/2022,https://pse.kominfo.go.id/storage/images/qr_code/f1d5eb7913dbe418c6c815e5e12d3a39.png,TERDAFTAR,5208
