type,id,nomor_pb_umku,nama,website,sektor,nama_perusahaan,tanggal_daftar,nomor_tanda_daftar,qr_code,status_id,sistem_elektronik_id
tdpseTerbit,4889,,GLANCE,glance.com,Sektor Teknologi Informasi dan Komunikasi,GLANCE INMOBI PTE. LTD.,2022-06-28,003525.01/DJAI.PSE/06/2022,https://pse.kominfo.go.id/storage/images/qr_code/29c2aba8ed2f249c460d9711b8bd6ca2.png,TERDAFTAR,4758
tdpseTerbit,4886,,DAZN,dazn.com,Sektor Perdagangan,DAZN LIMITED,2022-06-28,003524.01/DJAI.PSE/06/2022,https://pse.kominfo.go.id/storage/images/qr_code/2789916bd000abee2de3432ccbee6d85.png,TERDAFTAR,4755
tdpseTerbit,4720,,YANDEX PRACTICUM PLATFORM,practicum.com/id-idn/,Sektor Teknologi Informasi dan Komunikasi,INTERTECH SERVICES AG,2022-06-24,003410.01/DJAI.PSE/06/2022,https://pse.kominfo.go.id/storage/images/qr_code/bae4eb9fe0fbc41197e3af8d09fd39cd.png,TERDAFTAR,4674
tdpseTerbit,4680,,MARIAKALAIJ OWEN CAPITAL FINANCIAL LINK,owenpetrobitumen.blogspot.com,Sektor Keuangan,OWEN PETRO BITUMEN,2022-06-23,003370.01/DJAI.PSE/06/2022,https://pse.kominfo.go.id/storage/images/qr_code/32d868e0d7c9156b69ab93ca01217780.png,TERDAFTAR,4639
tdpseTerbit,4679,,SMIC FINANCIAL LINK,transpeninsular.wordpress.com,Sektor Keuangan,"SHANTOU MARIA INVESTMENT CO., LTD.",2022-06-23,003369.01/DJAI.PSE/06/2022,https://pse.kominfo.go.id/storage/images/qr_code/9f686058eefbf02dd802d9eee631025d.png,TERDAFTAR,4638
tdpseTerbit,4678,,SMIC FINANCIAL TRADE LINK,transpeninsular.wordpress.com,Sektor Perdagangan,"SHANTOU JINJIA TRADING CO., LTD.",2022-06-23,003368.01/DJAI.PSE/06/2022,https://pse.kominfo.go.id/storage/images/qr_code/6eb6703274c3153914b1e9658c638a68.png,TERDAFTAR,4637
tdpseTerbit,4677,,NABITU,nabitu.id,Sektor Keuangan,NABITU TEKNOLOGI ISLAMI,2022-06-23,003367.01/DJAI.PSE/06/2022,https://pse.kominfo.go.id/storage/images/qr_code/f1b7a0f1af6142165d29f2bedd25aaf6.png,TERDAFTAR,4636
tdpseTerbit,4676,,"RIMBA COLLECTIVE MRV (MONITOR, REPORTING & VERIFICATION) PLATFORM",rimbacollective.com,Sektor Teknologi Informasi dan Komunikasi,RIMBA COLLECTIVE PTE LTD,2022-06-23,003366.01/DJAI.PSE/06/2022,https://pse.kominfo.go.id/storage/images/qr_code/f13e315a89979e3839424c917dbe379d.png,TERDAFTAR,4635
tdpseTerbit,4675,,DECORIS,decoris.io,Sektor Perdagangan,INVOKE SOLUTIONS SDN BHD,2022-06-23,003365.01/DJAI.PSE/06/2022,https://pse.kominfo.go.id/storage/images/qr_code/baec393b3e852b17aaddf271bd5de48a.png,TERDAFTAR,4634
tdpseTerbit,5485,,ULIKE,play.google.com/store/apps/details?id=com.gorgeous.liteinternational; apps.apple.com/tw/app/ulike-define-trendy-selfie/id1398796436,Sektor Teknologi Informasi dan Komunikasi,BYTEDANCE PTE. LTD.,2022-05-25,002839.01/DJAI.PSE/05/2022,https://pse.kominfo.go.id/storage/images/qr_code/026e7bcadb9aa6a07fa2a46f90c809ba.png,TERDAFTAR,4139
